Education_Level,Experience,Projects,Skills,Certifications,Domain,Job Role,Courses,Keywords,Technologies
PhD,5+ years,Accounting,"Communication, Accounting, Team Management",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Accounting, Team Management, Communication",
PhD,5+ years,"Customer Service, Market Research, Sales Strategy","Customer Support, Accounting, Team Management",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Sales Strategy, Customer Service, Market Research, Accounting, Team Management",
PhD,3-5 years,"HR Management, Customer Service","Accounting, Communication, Salesforce","Excel Advanced, Customer Service Expert",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Service, HR Management, Salesforce, Accounting, Communication",Salesforce
Bachelor,0-1 years,"Customer Service, Sales Strategy, Accounting","Salesforce, Team Management, Accounting",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Sales Strategy, Customer Service, Salesforce, Accounting, Team Management",Salesforce
PhD,0-1 years,HR Management,"Accounting, Team Management, Communication","Salesforce Certified, Customer Service Expert",Non-IT,Business Analyst,"Salesforce Training, Customer Service Training","Accounting, Team Management, HR Management, Communication",
Master,0-1 years,"Market Research, HR Management, Customer Service","Communication, Salesforce, Accounting",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Service, HR Management, Market Research, Salesforce, Accounting, Communication",Salesforce
PhD,0-1 years,Market Research,"Salesforce, Excel, Customer Support, Team Management",Customer Service Expert,Non-IT,Market Research Analyst,Customer Service Training,"Customer Support, Market Research, Salesforce, Excel, Team Management","Salesforce, Excel"
PhD,0-1 years,"HR Management, Sales Strategy","Communication, Salesforce, Team Management, Customer Support","Salesforce Certified, Customer Service Expert",Non-IT,Business Analyst,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, HR Management, Salesforce, Communication, Team Management",Salesforce
Bachelor,3-5 years,"Customer Service, Sales Strategy","Salesforce, Customer Support, Accounting, Team Management, Communication",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Sales Strategy, Customer Service, Salesforce, Accounting, Communication, Team Management",Salesforce
PhD,1-3 years,"Market Research, Operations, HR Management","Team Management, Communication, Accounting, Customer Support","Salesforce Certified, Excel Advanced",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Customer Support, HR Management, Market Research, Accounting, Communication, Operations, Team Management",
Master,0-1 years,Operations,"Excel, Communication, Accounting",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Operations, Excel, Communication, Accounting",Excel
Master,1-3 years,"Customer Service, Market Research, HR Management","Customer Support, Accounting, Communication, Team Management, Salesforce","Excel Advanced, Customer Service Expert",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, HR Management, Market Research, Salesforce, Accounting, Communication, Team Management",Salesforce
PhD,3-5 years,"HR Management, Market Research","Excel, Customer Support, Salesforce",Customer Service Expert,Non-IT,Market Research Analyst,Customer Service Training,"Customer Support, Market Research, HR Management, Salesforce, Excel","Salesforce, Excel"
Bachelor,1-3 years,Customer Service,"Accounting, Customer Support, Team Management, Excel, Communication","Excel Advanced, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Customer Service, Excel, Accounting, Communication, Team Management",Excel
Bachelor,3-5 years,"Operations, Accounting","Customer Support, Accounting, Salesforce, Communication, Excel","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Salesforce, Accounting, Excel, Communication, Operations","Salesforce, Excel"
Master,1-3 years,HR Management,"Accounting, Excel, Salesforce, Team Management, Customer Support",Customer Service Expert,Non-IT,Business Analyst,Customer Service Training,"Customer Support, HR Management, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Bachelor,3-5 years,"HR Management, Market Research, Sales Strategy","Team Management, Customer Support, Salesforce, Communication","Customer Service Expert, Excel Advanced",Non-IT,Market Research Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Market Research, HR Management, Salesforce, Communication, Team Management",Salesforce
Master,5+ years,Customer Service,"Team Management, Communication, Customer Support, Excel","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Excel, Communication, Team Management",Excel
PhD,5+ years,"Sales Strategy, Market Research, Customer Service","Team Management, Customer Support, Communication, Excel, Accounting",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Sales Strategy, Customer Service, Market Research, Excel, Accounting, Communication, Team Management",Excel
PhD,0-1 years,"Accounting, Operations","Accounting, Team Management, Customer Support","Excel Advanced, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Operations, Accounting, Team Management, Customer Support",
Master,0-1 years,HR Management,"Customer Support, Communication, Salesforce, Team Management, Excel",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"Customer Support, HR Management, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
PhD,1-3 years,"Customer Service, HR Management, Market Research","Communication, Customer Support, Accounting","Excel Advanced, Customer Service Expert",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Market Research, HR Management, Accounting, Communication",
PhD,0-1 years,"Market Research, Customer Service","Accounting, Team Management, Excel","Excel Advanced, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Service, Market Research, Excel, Accounting, Team Management",Excel
PhD,5+ years,"Market Research, Customer Service, Accounting","Salesforce, Team Management, Accounting, Excel, Customer Support",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Customer Service, Market Research, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
Master,0-1 years,Market Research,"Salesforce, Excel, Communication, Team Management, Customer Support","Customer Service Expert, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Customer Service Training","Customer Support, Market Research, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Master,0-1 years,HR Management,"Customer Support, Excel, Communication, Team Management",Excel Advanced,Non-IT,Business Analyst,Advanced Excel Course,"Customer Support, HR Management, Excel, Communication, Team Management",Excel
Bachelor,1-3 years,"Accounting, Sales Strategy, HR Management","Communication, Salesforce, Team Management","Excel Advanced, Customer Service Expert",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Sales Strategy, HR Management, Salesforce, Accounting, Communication, Team Management",Salesforce
Bachelor,0-1 years,"Accounting, Operations, HR Management","Salesforce, Excel, Accounting, Customer Support, Communication","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, HR Management, Salesforce, Accounting, Excel, Communication, Operations","Salesforce, Excel"
Bachelor,3-5 years,"Accounting, Sales Strategy, Operations","Excel, Salesforce, Communication",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Sales Strategy, Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
Master,0-1 years,"Operations, HR Management, Accounting","Salesforce, Customer Support, Excel, Accounting, Team Management",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, HR Management, Salesforce, Accounting, Excel, Operations, Team Management","Salesforce, Excel"
PhD,5+ years,Accounting,"Excel, Accounting, Team Management",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Excel, Accounting, Team Management",Excel
Master,0-1 years,HR Management,"Excel, Team Management, Salesforce, Accounting","Excel Advanced, Customer Service Expert",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","HR Management, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
PhD,0-1 years,"Sales Strategy, Customer Service, Accounting","Salesforce, Accounting, Communication, Team Management, Excel","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Sales Strategy, Customer Service, Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
Bachelor,1-3 years,Market Research,"Communication, Team Management, Excel",Customer Service Expert,Non-IT,Market Research Analyst,Customer Service Training,"Excel, Team Management, Market Research, Communication",Excel
Master,5+ years,HR Management,"Excel, Team Management, Customer Support, Salesforce, Accounting",Customer Service Expert,Non-IT,Business Analyst,Customer Service Training,"Customer Support, HR Management, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Bachelor,5+ years,"HR Management, Market Research","Salesforce, Accounting, Team Management, Communication, Customer Support",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Customer Support, Market Research, HR Management, Salesforce, Accounting, Communication, Team Management",Salesforce
Master,3-5 years,Accounting,"Salesforce, Team Management, Accounting, Communication","Excel Advanced, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Salesforce, Accounting, Team Management, Communication",Salesforce
Bachelor,3-5 years,"Operations, Sales Strategy, HR Management","Accounting, Customer Support, Communication, Salesforce","Salesforce Certified, Excel Advanced",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, HR Management, Salesforce, Accounting, Communication, Operations",Salesforce
